Epoch: 001, Loss: 5.7126, AUC: 0.7670, AP: 0.7023
Epoch: 002, Loss: 4.4478, AUC: 0.7869, AP: 0.7293
Epoch: 003, Loss: 4.2704, AUC: 0.8051, AP: 0.7401
Epoch: 004, Loss: 3.9931, AUC: 0.8081, AP: 0.7492
Epoch: 005, Loss: 3.7673, AUC: 0.8108, AP: 0.7684
Epoch: 006, Loss: 3.2540, AUC: 0.8175, AP: 0.7861
Epoch: 007, Loss: 3.0996, AUC: 0.8247, AP: 0.7824
Epoch: 008, Loss: 3.2959, AUC: 0.8281, AP: 0.7722
Epoch: 009, Loss: 3.2247, AUC: 0.8368, AP: 0.7925
Epoch: 010, Loss: 2.7612, AUC: 0.8456, AP: 0.8095
Epoch: 011, Loss: 2.3510, AUC: 0.8532, AP: 0.8320
Epoch: 012, Loss: 2.6588, AUC: 0.8467, AP: 0.8084
Epoch: 013, Loss: 2.7209, AUC: 0.8494, AP: 0.8072
Epoch: 014, Loss: 2.4164, AUC: 0.8749, AP: 0.8575
Epoch: 015, Loss: 2.0592, AUC: 0.8744, AP: 0.8563
Epoch: 016, Loss: 2.1599, AUC: 0.8719, AP: 0.8603
Epoch: 017, Loss: 2.0811, AUC: 0.8663, AP: 0.8507
Epoch: 018, Loss: 2.2105, AUC: 0.8683, AP: 0.8391
Epoch: 019, Loss: 2.1878, AUC: 0.8799, AP: 0.8645
Epoch: 020, Loss: 2.1151, AUC: 0.8718, AP: 0.8519
Epoch: 021, Loss: 2.2095, AUC: 0.8755, AP: 0.8485
Epoch: 022, Loss: 2.1244, AUC: 0.8899, AP: 0.8763
Epoch: 023, Loss: 2.1739, AUC: 0.8716, AP: 0.8450
Epoch: 024, Loss: 2.3422, AUC: 0.8632, AP: 0.8254
Epoch: 025, Loss: 2.8282, AUC: 0.8636, AP: 0.8193
