Epoch: 001, Loss: 5.5859, AUC: 0.7679, AP: 0.7464
Epoch: 002, Loss: 3.8494, AUC: 0.7786, AP: 0.7576
Epoch: 003, Loss: 3.6465, AUC: 0.7860, AP: 0.7649
Epoch: 004, Loss: 3.5731, AUC: 0.7825, AP: 0.7519
Epoch: 005, Loss: 3.5344, AUC: 0.7828, AP: 0.7534
Epoch: 006, Loss: 3.5173, AUC: 0.7887, AP: 0.7640
Epoch: 007, Loss: 3.5116, AUC: 0.7936, AP: 0.7664
Epoch: 008, Loss: 3.4877, AUC: 0.7910, AP: 0.7671
Epoch: 009, Loss: 3.4822, AUC: 0.7940, AP: 0.7700
Epoch: 010, Loss: 3.4558, AUC: 0.7968, AP: 0.7690
Epoch: 011, Loss: 3.4554, AUC: 0.7968, AP: 0.7719
Epoch: 012, Loss: 3.4441, AUC: 0.7958, AP: 0.7708
Epoch: 013, Loss: 3.4518, AUC: 0.7993, AP: 0.7758
Epoch: 014, Loss: 3.4469, AUC: 0.7998, AP: 0.7764
Epoch: 015, Loss: 3.4407, AUC: 0.7965, AP: 0.7716
Epoch: 016, Loss: 3.4379, AUC: 0.7968, AP: 0.7714
Epoch: 017, Loss: 3.4255, AUC: 0.7964, AP: 0.7710
Epoch: 018, Loss: 3.4281, AUC: 0.7955, AP: 0.7697
Epoch: 019, Loss: 3.4142, AUC: 0.8003, AP: 0.7771
Epoch: 020, Loss: 3.4331, AUC: 0.7973, AP: 0.7685
Epoch: 021, Loss: 3.4170, AUC: 0.7953, AP: 0.7706
Epoch: 022, Loss: 3.4196, AUC: 0.7942, AP: 0.7656
Epoch: 023, Loss: 3.4156, AUC: 0.7956, AP: 0.7657
Epoch: 024, Loss: 3.4142, AUC: 0.8009, AP: 0.7749
Epoch: 025, Loss: 3.4120, AUC: 0.8006, AP: 0.7759
