Epoch: 001, Loss: 0.6857, AUC: 0.9057, AP: 0.8787
Epoch: 002, Loss: 0.3064, AUC: 0.9301, AP: 0.9096
Epoch: 003, Loss: 0.2624, AUC: 0.9421, AP: 0.9227
Epoch: 004, Loss: 0.2463, AUC: 0.9453, AP: 0.9251
Epoch: 005, Loss: 0.2397, AUC: 0.9458, AP: 0.9262
Epoch: 006, Loss: 0.2368, AUC: 0.9504, AP: 0.9340
Epoch: 007, Loss: 0.2299, AUC: 0.9485, AP: 0.9287
Epoch: 008, Loss: 0.2195, AUC: 0.9569, AP: 0.9415
Epoch: 009, Loss: 0.1972, AUC: 0.9603, AP: 0.9445
Epoch: 010, Loss: 0.1890, AUC: 0.9602, AP: 0.9453
Epoch: 011, Loss: 0.1755, AUC: 0.9607, AP: 0.9426
Epoch: 012, Loss: 0.1736, AUC: 0.9592, AP: 0.9415
Epoch: 013, Loss: 0.1681, AUC: 0.9635, AP: 0.9476
Epoch: 014, Loss: 0.1684, AUC: 0.9627, AP: 0.9458
Epoch: 015, Loss: 0.1606, AUC: 0.9631, AP: 0.9465
Epoch: 016, Loss: 0.1512, AUC: 0.9664, AP: 0.9512
Epoch: 017, Loss: 0.1474, AUC: 0.9684, AP: 0.9555
Epoch: 018, Loss: 0.1465, AUC: 0.9686, AP: 0.9536
Epoch: 019, Loss: 0.1374, AUC: 0.9724, AP: 0.9578
Epoch: 020, Loss: 0.1293, AUC: 0.9730, AP: 0.9590
Epoch: 021, Loss: 0.1222, AUC: 0.9739, AP: 0.9610
Epoch: 022, Loss: 0.1201, AUC: 0.9718, AP: 0.9589
Epoch: 023, Loss: 0.1148, AUC: 0.9724, AP: 0.9591
Epoch: 024, Loss: 0.1145, AUC: 0.9733, AP: 0.9595
Epoch: 025, Loss: 0.1124, AUC: 0.9721, AP: 0.9576
