Epoch: 001, Loss: 5.9664, AUC: 0.7557, AP: 0.7255
Epoch: 002, Loss: 4.0479, AUC: 0.7609, AP: 0.7333
Epoch: 003, Loss: 4.0176, AUC: 0.7627, AP: 0.7380
Epoch: 004, Loss: 3.9873, AUC: 0.7655, AP: 0.7339
Epoch: 005, Loss: 3.9778, AUC: 0.7685, AP: 0.7438
Epoch: 006, Loss: 3.9767, AUC: 0.7689, AP: 0.7437
Epoch: 007, Loss: 3.9783, AUC: 0.7706, AP: 0.7488
Epoch: 008, Loss: 3.9659, AUC: 0.7674, AP: 0.7494
Epoch: 009, Loss: 3.9574, AUC: 0.7678, AP: 0.7453
Epoch: 010, Loss: 3.9580, AUC: 0.7689, AP: 0.7419
Epoch: 011, Loss: 3.9511, AUC: 0.7691, AP: 0.7453
Epoch: 012, Loss: 3.9467, AUC: 0.7680, AP: 0.7398
Epoch: 013, Loss: 3.9441, AUC: 0.7718, AP: 0.7450
Epoch: 014, Loss: 3.9359, AUC: 0.7711, AP: 0.7460
Epoch: 015, Loss: 3.9274, AUC: 0.7712, AP: 0.7437
Epoch: 016, Loss: 3.9325, AUC: 0.7677, AP: 0.7376
Epoch: 017, Loss: 3.9199, AUC: 0.7712, AP: 0.7414
Epoch: 018, Loss: 3.9160, AUC: 0.7700, AP: 0.7420
Epoch: 019, Loss: 3.9220, AUC: 0.7695, AP: 0.7403
Epoch: 020, Loss: 3.9104, AUC: 0.7717, AP: 0.7448
Epoch: 021, Loss: 3.9079, AUC: 0.7704, AP: 0.7453
Epoch: 022, Loss: 3.9066, AUC: 0.7702, AP: 0.7482
Epoch: 023, Loss: 3.9140, AUC: 0.7698, AP: 0.7377
Epoch: 024, Loss: 3.9010, AUC: 0.7720, AP: 0.7431
Epoch: 025, Loss: 3.8923, AUC: 0.7728, AP: 0.7494
