Epoch: 001, Loss: 1.4178, AUC: 0.9314, AP: 0.9123
Epoch: 002, Loss: 1.0477, AUC: 0.9508, AP: 0.9359
Epoch: 003, Loss: 1.0260, AUC: 0.9584, AP: 0.9447
Epoch: 004, Loss: 1.0114, AUC: 0.9647, AP: 0.9538
Epoch: 005, Loss: 0.9997, AUC: 0.9683, AP: 0.9572
Epoch: 006, Loss: 0.9934, AUC: 0.9697, AP: 0.9576
Epoch: 007, Loss: 0.9874, AUC: 0.9721, AP: 0.9617
Epoch: 008, Loss: 0.9831, AUC: 0.9732, AP: 0.9633
Epoch: 009, Loss: 0.9819, AUC: 0.9746, AP: 0.9654
Epoch: 010, Loss: 0.9811, AUC: 0.9722, AP: 0.9621
Epoch: 011, Loss: 0.9790, AUC: 0.9722, AP: 0.9622
Epoch: 012, Loss: 0.9742, AUC: 0.9753, AP: 0.9658
Epoch: 013, Loss: 0.9743, AUC: 0.9774, AP: 0.9690
Epoch: 014, Loss: 0.9713, AUC: 0.9767, AP: 0.9684
Epoch: 015, Loss: 0.9682, AUC: 0.9777, AP: 0.9690
Epoch: 016, Loss: 0.9675, AUC: 0.9786, AP: 0.9700
Epoch: 017, Loss: 0.9640, AUC: 0.9786, AP: 0.9703
Epoch: 018, Loss: 0.9656, AUC: 0.9788, AP: 0.9704
Epoch: 019, Loss: 0.9625, AUC: 0.9797, AP: 0.9723
Epoch: 020, Loss: 0.9635, AUC: 0.9789, AP: 0.9705
Epoch: 021, Loss: 0.9626, AUC: 0.9786, AP: 0.9702
Epoch: 022, Loss: 0.9605, AUC: 0.9790, AP: 0.9705
Epoch: 023, Loss: 0.9600, AUC: 0.9797, AP: 0.9719
Epoch: 024, Loss: 0.9588, AUC: 0.9784, AP: 0.9686
Epoch: 025, Loss: 0.9587, AUC: 0.9795, AP: 0.9717
